Product_SKU,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14
AISJDKFJW93NJ,10,12,15,18,20,22,25,28,26,30,32,29,27,24
DJKFIEI432FIE,8,10,12,15,20,18,14,13,17,10,8,11,14,16
GGOENEBJ079499,15,18,22,25,28,20,17,23,19,21,24,27,18,20
HJSKNWK429DJE,30,32,35,38,40,42,45,48,50,52,55,53,49,47
JFKL3940NFKLJ,18,20,22,25,28,30,32,35,38,36,33,29,26,24
LKDFJ49LSDJKL,25,28,30,32,35,38,42,40,37,34,36,31,29,27
MWKDI3JFK39SL,30,35,40,45,50,42,37,38,41,36,33,39,40,44
NEKFJOWE9FDIW,12,15,18,20,22,24,21,23,25,28,30,27,26,29
OWEJL398FWJLK,20,22,25,28,30,32,35,38,36,33,29,26,24,27
XPLFJW2490XJN,5,8,9,12,15,10,14,16,20,18,22,25,19,21
